0.100000 0.000000 0.888375
0.300000 0.000000 0.819339
0.500000 0.000000 0.991098
0.700000 0.000000 0.029913
0.750000 0.000000 1.242940
0.800000 1.377570 0.601644
0.850000 0.000000 0.744023
0.900000 1.402791 0.612929
0.950000 0.000000 1.559288
1.000000 0.000000 1.692665
1.050000 0.949976 0.000000
1.100000 1.564603 0.000000
1.300000 1.564804 0.000000
1.500000 0.000000 0.930070
1.700000 1.564452 0.000000
1.900000 1.564167 0.000000
2.100000 1.563821 0.000000
2.300000 1.563405 0.000000
2.500000 1.562907 0.000000
2.700000 1.562307 0.000000
2.900000 1.561573 0.000000
